0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:24 +0700] "GET /shoponline/productDetail/7 HTTP/1.1" 200 16334
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:58:24 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:14:28 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:14:28 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:14:33 +0700] "GET /shoponline/productDetail/5 HTTP/1.1" 200 16465
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:14:33 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:14:49 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:14:49 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:51 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:51 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:52 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:53 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:53 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:53 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:55 +0700] "GET /shoponline/productDetail/7 HTTP/1.1" 200 16460
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:19:55 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:08 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:09 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:12 +0700] "GET /shoponline/productDetail/6 HTTP/1.1" 200 16471
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:12 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:14 +0700] "GET /shoponline/api/them-gio-hang?productName=V%C3%A1y%20li%E1%BB%81n%20in%20h%C3%ACnh&productId=6&productPrice=100000&sizeId=6&colorId=6&colorName=V%C3%A0ng&sizeName=S HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:17 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:39:17 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:11 +0700] "GET /shoponline/api/them-gio-hang?productName=V%C3%A1y%20li%E1%BB%81n%20in%20h%C3%ACnh&productId=6&productPrice=100000&sizeId=6&colorId=6&colorName=V%C3%A0ng&sizeName=S HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:12 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:51 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:51 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:54 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:55 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:57 +0700] "GET /shoponline/productDetail/8 HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:57 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:44:59 +0700] "GET /shoponline/api/them-gio-hang?productName=%C3%81o%20kho%C3%A1c%20m%C5%A9%20ch%C3%B9m&productId=8&productPrice=1000000&sizeId=2&colorId=8&colorName=T%C3%ADm&sizeName=L HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:45:01 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:45:01 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:45:36 +0700] "GET /shoponline/api/them-gio-hang?productName=%C3%81o%20kho%C3%A1c%20m%C5%A9%20ch%C3%B9m&productId=8&productPrice=1000000&sizeId=2&colorId=8&colorName=T%C3%ADm&sizeName=L HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:13 +0700] "GET /shoponline/productDetail/8 HTTP/1.1" 200 16473
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:13 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:13 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:13 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:13 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:14 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:14 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:16 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:16 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:16 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:16 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:18 +0700] "GET /shoponline/productDetail/6 HTTP/1.1" 200 16471
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:18 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:20 +0700] "GET /api/them-gio-hang?productName=V%C3%A1y%20li%E1%BB%81n%20in%20h%C3%ACnh&productId=6&productPrice=100000&sizeId=6&colorId=6&colorName=V%C3%A0ng&sizeName=S HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:22 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:46:23 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:47:38 +0700] "GET /api/them-gio-hang?productName=V%C3%A1y%20li%E1%BB%81n%20in%20h%C3%ACnh&productId=6&productPrice=100000&sizeId=6&colorId=6&colorName=V%C3%A0ng&sizeName=S HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:43 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:43 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:45 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:45 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:45 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:45 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:49 +0700] "GET /shoponline/productDetail/4 HTTP/1.1" 200 16470
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:49 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:49 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:50 +0700] "GET /shoponline/resources/home/js/bootstrap.min.js.map HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Sep/2019:20:48:53 +0700] "GET /shoponline/api/them-gio-hang?productName=V%C3%A1y%20li%E1%BB%81n%20c%C3%B3%20m%C5%A9&productId=4&productPrice=250000&sizeId=4&colorId=4&colorName=Cam&sizeName=XXL HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:11 +0700] "GET /shoponline/ HTTP/1.1" 200 21211
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:11 +0700] "GET /shoponline/resources/home/img/favicon.ico HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:14 +0700] "GET /shoponline/productDetail/1 HTTP/1.1" 200 16462
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:14 +0700] "GET /shoponline/resources/js/gioHang.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:18 +0700] "GET /shoponline/api/them-gio-hang?productName=qu%E1%BA%A7n%20%E1%BB%91ng&productId=1&productPrice=222222&sizeId=1&colorId=1&colorName=%C4%90en&sizeName=M HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:31 +0700] "GET /shoponline/api/them-gio-hang?productName=qu%E1%BA%A7n%20%E1%BB%91ng&productId=1&productPrice=222222&sizeId=1&colorId=1&colorName=%C4%90en&sizeName=M HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:28:37 +0700] "GET /shoponline/api/them-gio-hang?productName=qu%E1%BA%A7n%20%E1%BB%91ng&productId=1&productPrice=222222&sizeId=1&colorId=1&colorName=%C4%90en&sizeName=M HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:21:29:27 +0700] "GET /shoponline/ HTTP/1.1" 200 12409
